사람인-커리어,,,,,,,,,
작성일,조회수,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2022.06.22 작성,98,사람인-커리어,[테스트] 커리어 관리 어떻게 해야할까요?,커리어 관리 어떻게 하면 좋을지 고민이에요.,나두요,저두요..,,,
2022.06.22 작성,195,사람인-커리어,"공공기관 계약직 연장, 재취업 고민","안녕하세요 . 업무 전환 때문에 이직(재취업)을 고려하고 있는 21살 여자입니다. 19살 때 고졸채용으로 기타공공기관 계약직으로 취업하여 2년 기간 근무 후 무기계약직으로 전환되는 것으로 계약하고 들어왔습니다. 인사팀 직원의 얘기를 들어보니 무기계약직 전환 여부는 저의 의사에 따라 결정하신다고합니다. 아직 인사팀이나 저희 부서 분들께는 이런 고민이 있는지 따로 말씀드린 적은 없습니다. --------------------------------------------- 사무행정으로 들어왔으나 현재 제가 맡고있는 업무는 창구 민원 응대이며 현재는 거의 방문없이 하루에 8~90통 전화 응대가 85% 비중을 차지합니다.(거의 콜센터업무) 점심 휴게시간은 없고, 사내식당에서 밥 먹고 와서 앉으면 전화 받는 형태이며 업무시간 외 근로를 하지만 수당은 사실상 없습니다. 해당 업무는 3년이 지나도 교대 없이 계속 지금 자리에서 같은 업무를 하게된다고 합니다. 민원의 강도는 가끔(하루에 한 두번) 심한 말을 듣는 정도이나 저희 기관에서 아예 처리해드릴 수 없는 민원들에 대해 스트레스를 많이 받는 편이며 법이 제정되거나 하는 1~2달은 월 평균을 내보니 하루에 175통씩 받기도 합니다. 연봉제 이지만 월급은 세후 190만원 정도입니다. 성과상여금은 1년에 한 번 주어집니다.(많이 받으면 월급2배정도) 외 명절 20만원 등.. --------------------------------------------- 21살 여자 학력: 고등학교 사무행정과 졸업(상업계고) 자격증: - ITQ(한글엑셀, 파워포인트, 아래한글, 인터넷) - 컴퓨터 활용능력 2급 - FAT2급 - 전산회계운용사2급 - 전산세무2급 - 2통보통운전면허 (TAT2급 시험결과 기다리고있습니다.) 경력: - 학생 때 했던 아르바이트(홀서빙, 설거지 등) 6개월 미만 - 현재 재직 중인 회사 1년10.5개월 이상입니다. ----------------------------------------------- [현재 고민] 지방에서 올라 온 제가 받을 수 있는 주거 혜택이나 고졸인 제가 받을 수 있는 학자금 복지도 따로 없고, 회사를 다니며 자격증을 조금 취득하였으나 토익, 한국사 컴활 1급, 세무1급 등 자격증도 목표로 하고 있어서 아마 퇴직 후에는 재취업 준비하면서 해당 자격증을 준비할 생각입니다. 대학은 방통대 아니면 거의 어려울 듯하고.. 월마다 적금(100만 이상) 등.. 고정적인 지출이 크기 때문에 실업급여를 받을 수 있는 지금이 업무 전환점이라고 생각하여 해당 글을 올리게 되었습니다. 제 스펙에 비하면 기타공공기관의 네임벨류도 감지덕지라는 느낌을 항상 받고 있지만 다른 일도 배우고 싶다는 마음도 생기니까 장기적으로 제가 이 업무를 오래할 수 있을지도 고민이 되었고, 원래 처음에 고등학교 졸업 후 취업하여 하고 싶었던 업무는 총무/경리 업무였기에 한 번 더 고민이 되었습니다. 업무 전환 목적도 있고 제가 하고 있는 업무가 거의 물경력(?)인 것 같아서.. 첫직장이다보니까.. 제가 너무 현재 취업 상황에 비해 공공기관 걷어차는 안일한 생각을 하고 있는건지 실제 관련 업무를 하고 계신 분들의 현실적인 조언을 받고 싶습니다. 긴 이야기를 말씀드렸는데 시간 내어 읽어주셔서 감사합니다.",체계가 잡힌 대기업이 오히려 일을 배우죠. 작은데서 자잘한 거 다 혼자 하다보면 일을 배우는게 아니라 일에 파묻혀 끌려다니게 될거에요. 아직 경력이 없는데 특히 중소기업같은덴 총무 한 명한테 모든 자잘한 업무를 시키는데... 괜찮으시겠어요...? 제대로 다르쳐주는 사람도 없을 걸요.... 대기업 가서 한 파트라도 제대로 배우고 경력직으로 작은 기업 가세요...,"혹시 기업의 규모가 어느 정도인 곳에서 총무/경리 업무를 하고 싶은 걸까요?? 그리고, 해당 직무로 업무를 가져가고 싶은 이유는 또 어떤 건지 궁금해요..! 총무 업무의 경우 비교적 전문적인 분야가 아닌 편이라, 연봉이 그리 높지 않은 편이기도 해서 이런 부분도 감안하셔서 준비하고 계시는지 해서용..!",,,
2022.06.22 작성,80,사람인-커리어,제 직무에 대한 흥미도 없고 의욕이 안생겨요,"28살 5년 이상 경력자입니다. 직무는 회계이고 경험 많이 쌓을 수 있는 첫회사에 취직해서 3년 연속근무 하다가 같은 분야 다른 계열로 새로운 경력 쌓기위해서 이직한 곳에서 2년정도 경력 쌓았는데 오래 일할만큼 좋은 회사는 아니라 퇴직했습니다. 그러고 다른곳으로 이직했다가 정말 똥 같은 회사 만나서 갑작스럽게(?) 퇴사하게 된 케이스로 간단하게 말하자면 현재는 무직인 상태입니다. 운 좋게 경력 쌓을 수 있는 기회를 많이 만나서 스펙은 화려하지 않아도 경력으로 인정받고 실제 업무할때도 크게 비난 받거나 한적은 없어요. 근데 일하면서도 그랬고 이직 준비를 하는 지금도 이 길이 나한테 맞는지에 대한 의문이 계속 들고 회의감이 듭니다. 무엇보다 업무 성향도 저랑 맞지 않는 것 같아요. 그래서 다시 이 길로 취직하자니 제발로 지옥에 다시 들어가는 것 같고 너무 답답합니다.. 좋아하는 일을 한다는 것은 당연히 쉽지 않은 일이지만, 일하면서 타 팀원들 보며 열정을 가지고 좋아하는 일을 하시는 분들 보면서 가장 부러웠네요. 졸업 후 생계 때문에 급하게 일을 시작하느라 좋아하는 일, 하고싶은 일이 뭔지도 모르고 흘러가는대로 제가 할 수 있는 최선의 일을 했던 게 그 때 제가 할 수 있는 최선이라고 생각했고 그래서 이 쪽 직무 밖에는 경험도 경력도 없어요.. 중요한건 제가 좋아하는 일, 하고싶은 일이 뭔지도 모르겠어요 이제와서 신입으로 들어가거나 새로 시작한다는 게 맞는 건지도 모르겠네요.. 무직 상태에서 계속 쉴 수도 없고 현실을 받아들여야하는데.. 오늘도 이직 준비 한다고 들어왔다가 너무 마음이 답답하고 의욕이 안 생겨서요 ㅠㅠ 일을 좋아서 하는 사람이 어딨냐는 말 들을 거 알지만 혹시 저와 같은 고민을 하셨던 분들은 어떻게 극복하셨는지 궁금해서 글 써 봅니다.",답변 없음,,,,
2022.06.22 작성,177,사람인-커리어,초봉 3600 vs 초봉 4000 입사 고민입니다.,"면접을 보았고 두 군데다 합격한 상황인데 어디로 가야할 지 정말 고민입니다. A 회사 초봉 3600 (대기업 계열사) 08:30 ~ 17:30(야근 거의 평일 기준으로 1시간 정도 있음, 주말 근무시 추가수당) 회계/총무/인사/노무 직무 - 회계 쪽 비중이 큼 2년 후에 중국, 일본 등지으로 발령근무 예정 통근 버스 있음 B 회사 초봉 4000 (중견기업) 07:30 ~ 16:30(야근 거의 평일 기준으로 1시간 정도 있음) 회계/총무/인사/노무 직무 - 총무 쪽 비중이 큼 기숙사 제공 통근 버스가 없고 회사가 외딴 곳에 있어 출근시 차량 있어야함 정말 고민이 되는데 어디가 더 나을까요?",항상 고정수만 고민마시고 변이수도 고민하시길 바랍니다.... 초봉 4천 이시면 50미만 중견기업 과장 선이지요... 즉 본인에 업무 강도도 생각하시고 .. 입사후 자리 꼭 잡으시길 바랍니다..,걍 많이 받는게 중요 다필요없음 ㅎㅎ 그리고 안정적인 회사 .. 회사가 얼마나 오래 살아남을지 판단하시길,"저는 A요! 단순 연봉과 근무시간뿐만 아니라 회사 복지와 연봉상승률, 성과급과 같은것도 한 번 비교해보시는게 좋을것 같아요. 그리고 중국, 일본과 같은 해외 근무 경력은 나중에 이직할 때도 도움이 될 것 같고요. 글쓴이님의 가치관에 따라서 다를순 있을 것 같습니다. ㅎㅎ 조금이라도 후회가 저은 선택하시길 바래요! 화이팅",저는 B요 기숙사도 제공해두고 연봉도 더 높고.. 외국 발령도 쉬운게 아닙니다 외국에 살아본 경험이 있는 사람으로써 될 수 있으면 피하기..,"400연봉차이면 크네요 중고차하나 500짜리뽑아도 될정도인데, 저는 중견기업이 나을것같네요 근무시간도 마음에드네요 바른생활하기 패턴도좋고 기숙사도주어지고 연봉도높고, 그리고 차량문제가 제일 클거같은데 중고차나 운송수단을좀알아보시고 결정하면 좋을것같네요 초봉 4000이라는건 메리트가 정말 큽니다!"
2022.06.22 작성,106,사람인-커리어,HDC랩스,HDC랩스 대졸 신입사원 초봉이 어떻게 되나요?? 복지나 근무환경도 궁금합니다~~~,4000?,,,,
2022.06.22 작성,174,사람인-커리어,어떻게하면 좋을까요?,"안녕하세요 2020년에 식품영양학과를 졸업하고 아직 2년반정도 취직을 못한 상태입니다 (식품기사, 컴활자격증 취득) 원래는 품질관리쪽으로 진로를 정하였으나 실험경험이 없어 거의 매번 떨어졌습니다 ㅠㅠ 그러던중 던킨배스킨 정규직매니저 공고를 보게되었고 좋은 조건인거같고 근무지역은 잘하면 집에서 10~15분거리로 될 수 있을거같은데 취준생이나 현직자분들은 어떻게 생각하시나요? ㅠㅠ 또 던킨배스킨 정규직매니저에 근무하시는분들 근무환경이나 강도정도 알려주실수있을까요? ㅠㅠ",정규매니저 직은 식품과 무슨관련인가요? 아르바이트쪽아닌가요? ...,,,,
2022.06.22 작성,44,사람인-커리어,30살 평균연봉조사 다들 의견부탁드려요,"지잡...대학원졸업,석사(야간),전공관련자격증2개,어학점수x 학교학점4점대, 경력은 짧지만다양하게 종합 3년이상 살다보니 이런스펙을 갖게되었고, 현재는 제주도에서 근무중에있습니다. 그냥저냥 현생만족하면서, 고향은 서울인데 여러지역 이직해가며, 꿈에그리던 제주도에서 일하고있습니다. 평균 연봉은 3400 입니다. 근데 만족하며 살고있습니다. 다른분들은 어떤가요?",지잡 학사 전공자격증 3개 어학x 학점3.3 경력 5년에 계약연봉4300 성과별도 입니다 제조업은... 한계가 있네요....,,,,
2022.06.22 작성,113,사람인-커리어,어떻게하면 좋을까요??,이직 후 막 2달차가 된 신입입니다 제 사수님이 오랜시간 막내로 있어서 그런지 저한테 일을 잘 안시키시고 혼자 다 하시려 합니다 원래 2달차엔 이런가요? 제가 더 시키실 일 없으신가요? 물어도 없다하시고 혼자 바쁘신것같아요... 업무 내용과 자료가 공유가 잘 안돼서 뭘 해야할지 모르겠는데 어떻게 말씀드리면 될지 모르겠네요 벌써 두달째 아침 점심마다 물어보는것도 쪼금 그런것같아요 ㅠㅠㅜ,약간알아서해주길원하는타입아닐까요?,,,,
2022.06.22 작성,66,사람인-커리어,입사 3주차 급하게 인수인계,"입사 3주차인데 상사 께서 너무 급하게 인수인계를 하세요.. 원래 이런가요? 실제로 면접 볼때랑 지원할때 본 구인공고도 사무보조였는데 들어와보니까 경리일을 인수인계하고 있고... 자꾸 인수인계 해주면서 자기가 언제 나갈지 모르겠다, 자기도 급하게 인수인계 받았다. 하시면서 빨리 배우셔야 한다는데... 원래 입사 하면 이런가요..? 회사에서 보관하는 서류들 위치랑 내용 다 아셔야한다면서 빨리 외우라고 하시는데... 어제는 사무실 인원이 늘어난게 자기가 너무 힘들어해서 늘어난거라고 하시더라구요. 빨리 탈출하는게 나을까요? 이 일을 계속 하게 되면 제 커리어에 도움이 될까요?",답변 없음,,,,
2022.06.22 작성,114,사람인-커리어,3:3 임원면접 합격률 봐주세요,"회사는 일본계 중견기업이고 ( 한국지사 총인원 550명 ) 지원한 부서는 기구조립이고 3:3 면접 총 30분걸쳐서 진행되었습니다. 공통질문4가지 1. 자기소개 2. 지원동기 3. 좋은회사,좋은사원이란 무엇인가? 4. 자신의 강점이 회사에 어떻게 적용될것이며, 입사후 포부 =지원자들 스펙= 1. 일본에서 살다온 일본어 개고수인데.. 5년간 경력이 물경력..(자동차부품생산, CS업) 2. 10년동안 전기업무 및 시스템제어로 지진관련 전기적신호로 대응하는방안을 논문으로 썼고 1년안에 전기기사까지 취득. 다만 제조경험이 없음. (이분이 제일 고스펙자) 3. 본인 2년 기구조립 경험있고 저 2명보다 나이 제일 어림. 웃긴게 꼬리질문, 압박질문들이 저 2명한테 원산폭격 하듯이 질문폭격을 하는데 저한테 한 질문은 "" 아직도 야간대 재학중이신가요? "" , "" 전에 있던 회사에서 어떤일을 하셨나요 "" ""본인은 능동적인사람입니까?"" 이거 3개 질문했고 그덕에 좀 공통질문 4가지에 떨지않고 대답할 마음의 여유를 가졌고 답은 이렇게 했어요 지원동기는 前 회사에서 2년동안 조립제조 하다가 귀사랑 같이 성장하고 싶어서 왔습니다. 좋은회사는 역시 미래지향적인 회사가 좋은회사고, 좋은사원은 내가 여기서 무엇을 해야하는지 생각을하며 능동적으로 행동하는게 좋은사원이다라고 대답했더니 면접관 : 그럼 본인은 능동적인 사람입니까? 본인 : 네 그렇습니다 면접관 : (끄덕끄덕 하면서 기재중) 역량이 회사에 미치는점과 포부는 前 회사에서 NG없이 다 출하했다. 물론 메인엔지니어가 꼼꼼해서 그런거지만 보조엔지니어인 저도 한 꼼꼼해서 제가 만든제품들은 남들에 비해 퀄리티가 높게 만들 능력을 가지고 있고, 단순히 제가 봤을때 아무리 경영능력이 뛰어나도 품질이 안좋으면 신뢰를 가질 수 없다고 생각합니다. 저는 신뢰가 가장 중요하다 생각합니다. 4번질문대답에 유독 쌩뚱맞게 대답했긴했는데 합격이 될지 안될지 이게 참 그런데 제가 뽑힐 확률 있을까요",답변 없음,,,,
2022.06.21 작성,73,사람인-커리어,면접 볼 때 재직관련 답변,원하던 회사의 면접을 보게 돼었는데요! 이력서 작성 전에는 무직이었다가 2주전에 계약직으로 취업을 했습니다. 그래서 면접을 보게 되면 근무를 하고 있다는 식으로 답변을 해야할지 그냥 아무말도 말아야할지 고민이 됩니다... 말해야할까 고민되는 이유로는 말하지 않았을 때 생기는 불이익도 걱정되구요 아무일도 안하기 보다는 계약직으로 근무하고 있다는 점. 관련 업종 관련 직무 이기에 관심과 열정을 어필할 수 있다.( 짧지만 과거 경력이 지원 업종과는 다르기에.../ 과거에 알바로 했다는 거짓말을 해야하나 싶기도 합니다)는 점이구요... 말하기 꺼려지는 이유는 우리회사가 아니더라도 상관없는 면접자로 볼까봐. 2주만에 이직을 한다면 더 좋은 회사를 찾아 금방 떠날 사람으로 볼까봐. 걱정이됩니다. 조언부탁드립니다...,"안녕하세요, 커피쌤이에요옹~~! o( ' ^ 'o ) 우선, 원하는 회사에서의 면접 기회가 생긴 거 정말 축하드려요옹~~! 면접 중, '이직 사유(+재직 이유)'에 대한 질문이 들어온다면, 직무(or직군 등) '경험'을 위해 현직장에 재직 중이지만, '커리어 발전/개발'을 위해 이직을 고려한다는 답변은 어떨까요? 예를 들어, (이직 사유에 재직 이유를 살짝 곁들인 답변) 본인 스스로 커리어적으로 도전하고, 개발하기 위해 이직을 고려하고 있습니다. 현재, OO산업군(or직무 등)에 대한 경험을 쌓기 위해 계약직으로 근무 중입니다. ~~한 부분을 경험함으로써 ~~걸 배울 수 있는 좋은 계기였습니다. (*지원하는 곳이랑 관련된 곳임을 어필) 하지만, 계약직으로 근무하다 보니 업무에 대한 범위가 비교적 한정적인 편이라, '커리어적으로 발전하는 데 한계가 있다'는 걸 판단하였습니다. (*이직을 원하는 이유) (회사명)에 입사하여 OO직군(or직무)에 대한 관심과 열정으로 현재보다 더 넓은 업무 범위를 수행해냄으로써, (현재 직군or직무)경험을 깊이 있게 체득하며, 스스로 커리어적으로 도전하고, 개발하는 계기를 만들기 위해 (회사명)으로의 이직을 고려 중에 있습니다. 라는 식으로요! (*위의 답변은 어디까지나 참고용으로 삼아주셔요 ㅎㅎ) 질문에 따라 재직의 이유나 이직의 사유를 자유롭게 변경하셔도 좋아요! 좋은 결과가 회원님께 따르길 커피쌤이 응원할게요옹~~! ---- p.s. 그리고 혹시...! 커리어 관련! 고민이 생기신다면! 사람인에서 베타 오픈한 [커리어PT] 서비스에서 커피쌤이 적극적으로 도울게요옹~~! 회원님께서 적게 일하구 많이 벌고 행복한 직장인이 될 때까지 늘 응원할게요옹! ( ' ^ ')♡ ▶ 커리어PT 구경가기 : https://careerpt.saramin.co.kr?utm_source=saramin&utm_medium=community&utm_campaign=career_pt_teacher&utm_term=reply ◀",계약직 말 하지 마시고요 면접 일정 조정이 필요하면 그냥 아르바이트 하는 중이라고 하세요 2주 되었는데 바로 옮긴다는것도 이 회사에 와서도 적응 안되면 바로 옮길까봐 싫어할수 있어요,,,
2022.06.21 작성,240,사람인-커리어,..,.,유투브 등에 파닉스 강의을 찾아보시는 건 어떤가요? 가장 중요한 기초부터 확실히 쌓으시면 그 이후는 쉬워 질 것입니다. 이외에 성인 대상 초급 영어 강의도 많으니 잘 활용하시면 좋을 것 같네요. 대신 단어장만 토익 단어장 등을 활용하여 실생활에 쓸만한 단어들로 외우기만 하면 같은 시간 안에 더 효율적으로 실력을 향상 시킬 수 있을 것 같네요. 도움이 좀 되었으면 좋겠습니다! 화이팅!,,,,
2022.06.21 작성,197,사람인-커리어,병원 경리직 업무,안녕하세요!! 병원 경리직 자기소개서를 적고 있습니다. 입사 후 포부를 쓰고 있는데 병원 경리는 어떤 업무를 하는지 정확하게 알지 못해 어려움이 있습니다. 병원 경리는 어떤 업무들을 하는 지 알고싶습니다,답변 없음,,,,
2022.06.21 작성,163,사람인-커리어,면접 질문요,제가 내일 방송 통신 장비 부품을 납품하는 회사에 구매 자재 재고 관리하는 물류 지원 팀에 면접 보러 가는데 어떤 질문을 할지 도무지 예상이 안되서요 일단 영어질문은 안하겟죠? 채용공고에 영어는 전혀 안적혀있었거든요!,답변 없음,,,,
2022.06.21 작성,68,사람인-커리어,연봉 좀 많이 쳐주는 중소기업 VS 기다렸다가 대기업,안녕하세요 현재 취준생입니다. 지금 현재 스카웃 제안을 받은 곳이 중소기업인데 초봉이 4100에 성과급 따로하면 최종적으로 5000좀 안될꺼같아요 근데 원하던 기업은 대기업인데 아직 발표가 안나서 어찌해야할지 고민입니다 ㅠㅠ 대기업은 인턴 채용전환형인데 고민이됩니다. 아직 둘다 합격한건아닌데 중소기업은 좀 저한테 기대를 거는것같고 만약 중소되고 대기업 안된다면 그냥 중소 커리어 1~2년 쌓고 중고신입이나 경력직으로 가는게 좋으려나요 ㅠㅠ 고민됩니다.,대기업 인턴 채용전환형은 정해진 기한내 100프로 전환이 아니면 신중하게 생각하셔야 됩니다. 그게 아니면 채용이 계속 미뤄지고 인턴 생활이나 계약직으로 이어질 가능성이 매우 높으며 나중에 후회하실 수가 있습니다.,중소가지마세요..제발...,저도 나름 중소기업중에서 괜찮은 회사 다니다가 연봉 높여서 다른 중소기업 입사한지 일주일 되었는데요. 월요일 나가자마자 퇴사 밝히고 바로 나올 예정입니다. 왜 주변사람들이 중소기업을 선호 안하는지 알겠더라구요. 경력 1~2년 정도 쌓으시다가 적절한 타이밍에 이직 하시는게 나을듯 합니다.,제가 생산직 중소기업 회사에서 근무를 한 적이 있는데.... 월급 많이 준다고 해서 좋은거 아니더라고요ㅠ 진짜 몸도 힘들고 마음도 힘들고 그래요ㅠ 님이 진짜로 가고 싶은 회사를 정하신 다음에 이력서&자기소개서를 작성하신 뒤 면접을 보시는게 좋을 것 같아요^^ 님 꼭!!! 취직하세요~^^ 화이팅!!!!,
2022.06.21 작성,233,사람인-커리어,대동 (구 대동공업),대동 19일 서류 제출 마감인데 아직 발표 안난거죵?? ㅜㅜ 너무 긴장된에ㅕㅇ...,서류 발표 났나요?ㅠㅠ,,,,
2022.06.21 작성,164,사람인-커리어,온라인 운영 알바 or 계약직으로 일하면 커리어는 어떻게 쌓을 수 있을까요?,"마케팅팀 서포트와 그 외 온라인 사이트 관리를 담당하게 될 것같은데요. 온라인쪽으로 커리어를 쌓아보고싶어서 계약직으로라도 알아보고 있는데, 이게 경력이 될까요? 이전 경력은 온라인쪽이 전혀 아닙니다.","앞으로 IT직군에 운영 부문으로 커리어를 쌓고자 한다면, 경력으로 어필 가능할 듯해요^^",,,,
2022.06.21 작성,107,사람인-커리어,서류탈락이유중,디자인회사인데 자조서 포함은 아니였어서 자소서 작성을 안하고 이력서와 포트폴리오만 제출했는데 탈락원인이되나요?ㅜㅜ 기본적으로 넣어야되는것은 알고있지만... 자소서 없이 합격되신 분 계시나요?,"이력서, 자소서는 기본이죠. 둘 중 하나가 누락 되었는대도 합격이 된다면 그 회사가 수상한 회사에요. 얼마나 사람이 없고 급하면 기본양식을 빼고 보냈는대도 합격을 할까요?","서류제출에 이력서, 자소서는 기본으로 알고있습니다.",,,
2022.06.21 작성,71,사람인-커리어,퇴사 고민,"안녕하세요 28살 중소기업에 다니고 있는 여자입니다. 회사를 다닌지는 3개월정도 되었는데 여기 중소기업에 다니기전에는 공공기관 같은 체계적으로 되어있는 곳에서만 일을 하였습니다. 체계도 너무 안잡혀있고 가족회사라 가족들도 너무 많이 드나들고 중소기업회사 룰에 따라 휴가도 1년 다니고서야 준답니다. 아는분 통해 들어 오긴했지만 여직원도 저 1명뿐이고 딱 주어진 일은 별로 없지만 모든일을 시킬때 다 해야한다는 부담감도 엄청 큽니다. 공사업체라 가끔 대하는 사람들도 너무 거칠고 대하기도 싫어지는데 적지않은 나이 28살인데 나름 커리어는 잘 쌓았다 생각하는데 여기를 계속 다녀야 할지,, 업무가 더 주어지기 전에 퇴사를 해야할지 고민이네요 ㅠㅠ 다들 어떻게 생각하시나요 ?ㅜ",빨리 런 하세요,빨리 그만두는것도 용기 입니다,,,
2022.06.21 작성,20,사람인-커리어,대졸 식품회사 품질관리 신입 봐주세요,"규모 100명정도되는 중소기업이고, 집에서 편도 1시간 40~2시간걸립니다. 연봉2600에 상여25만원씩 명절에 지급입니다. 특근수당따로 있고, 자취 방세 50%지원해준다고 합니다. 통근버스없고 기숙사없어요. 품관 경력 선배님들 의견 좀 주세요! 잡플에 평점 2.4정도 됩니다.",답변 없음,,,,
2022.06.21 작성,69,사람인-커리어,저의 성향에 맞는 일,먼저 저는 남들과 어울리기 싫어합니다 그래서 집에서 제택으로 할 수있는 일을 해보려고 하는데요 제택 근무를 하면서 열심히 하면 돈도 벌수 있는 일은 뭐가 있을 까요??,답변 없음,,,,
2022.06.20 작성,196,사람인-커리어,전화합격후 메일,전화합격통보후 메일보내주신다했는데 감감무소식인데 어느정도걸리나요?? 받아보신분 ㅠ 아니면 연락해봐야할까요,답변 없음,,,,
2022.06.20 작성,22,사람인-커리어,(주)온페이스에스디씨 판매납품직,거릅시다. 2022년 올해부터 기업재량으로 연차 안쓰면 소멸되는 기업룰이 있더군요 구인공고와 면접 볼때랑 달리 주5일 아니고 08:30~17:30 퇴근 아닙니다. 07:00~20시까지 하는날이 대부분이라 보면 됩니다. 일찍 가는 날이 얼마 안된다는 거지요. 중구남방으로 하는게 많아서 나갈 물량이 다 않나와서 오전.오후 납품 갔다와서 내일나갈 제품 입고잡고 정리하고 챙기고 합니다. 20시 퇴근. 면접볼때 말을 해 주지 않아요. 일할파트 필드에 가서 그만둘 사람들 에게서 듣고 대리나 과장에게 묻고 알았습니다. 확실 하냐고 연차소멸 이야기 주5일 정황 및 상황상 칼퇴 절때안됨. 연봉 낮아도 워라벨 보고 간건데... 사람 막 집어넣음 같이 일할 사람들은 아무것도 모름 저 처럼 하루낭비 하시지 말라고 알려 드립니다.,헐 ;; 저도 여기 면접 본적 있었는데 ;; 다행히 여기보다 더 괜찮은 회사가 있기도 하고 거기서도 불합격인지 연락이안와서 안갔었는데 잘됬네요;;,,,,
2022.06.20 작성,62,사람인-커리어,월급,안녕하세요 제가 지금 현장직으로 일하고 있습니다. 5인미만 기업에 회사가 오전6시30분에 시작하고 끝나는 시간이 오후 3시30분 입니다. 좀더 늦게 끝나면 오후 4시에 끝날수 있습니다. 잔업은 없고요 월급은 200인데요 4대보험 때에 180받고 있습니다. 제가 지금 적게 받고 일하는 건가요?,업무 강도나 하는 업무의 중요도에 따라 다를거같은데 요즘 사람이 없어 현장직 단가가 그것보단 높아지긴햇습니다,,,,
2022.06.20 작성,29,사람인-커리어,고속버스회사 영업부 업무,안녕하세요 다름이아니라 고속버스회사의 영업부서에 입사하게 되었는데 영업부업무 어렵나요??,답변 없음,,,,
2022.06.20 작성,96,사람인-커리어,경력직 공고 지원했는데 보통 몇일안에 서류합격 문자 날라오나여?,"규모는 작은편은 아닌데 지난주 금요일에 합격문의 메일은 아니고 다른 문의때문에 메일을 드렸었는데, 친절하게 메일 답장 오늘 주시더라구여? 아직 합격자 발표는 안난듯 한데 언제쯤 나려나 싶어서...",답변 없음,,,,
2022.06.20 작성,168,사람인-커리어,학력질문요,제가 물류쪽에 다니고 싶어서 찾아보니 집에서 30분거리의 의료기기 회사에서 물류관리부를 모집하고 있어서 지원할려고보니 학력이 고졸이상이라고 적혀있더라고요? 저는 대졸인데 이렇게 적힌곳은 합격하면 연봉이 고졸테이블로 주나요 아니면 대졸에 맞게 주나요?,"이런 경우에는 지원하면서 말해봐야하고, 공고에 고졸정도라는건 딱 고졸정도로 부릴애가 필요하다는 거겟죠 마침 적당히 알고 경력도 잇는 대졸도 필요하다고하면 좋겠지만요 원하시는 곳이라면 지원할때 코멘트 하심이 좋을듯ㄱ 합니다",그쪽은 고졸을 원하는거니 고졸테이블로 주겠죠,,,
2022.06.20 작성,163,사람인-커리어,..,..,능력되면 이직해야지,아무리 봐도 연봉 너무 후려쳐서 받으시는데요..? 제발 좋은회사 찾아서 이직하세요. 저희 회사 아무능 력 학력 자격증 없는 전졸이 3800시작이에요,이정도면 1억 가까이 받으세요.,1년차 중소기업 시스템엔지니어입니다. 6년이면 꽤 긴 경력인데 이직하셔서 돈 많이 버세요. 저는 1년차라 훨씬 적습니다...ㅜㅜ,
2022.06.20 작성,144,사람인-커리어,열병합 발전소 전망,"민간 열병합 발전소 전망이 궁금합니다. 지원한 발전소가 수익률이 낮고, 자본잠식 상태인데 들어가면 어떨지 궁금합니다. 관리직으로 갈텐데 열병합발전소는 처음이라 여쭙니다.",답변 없음,,,,
