연번,제목,날짜,글 내용,댓글 내용
307,안녕하세요 견적 질문드려도 될까요?,2024.07.01 02:49,이번에 새로 사무용 컴퓨터를 하나 알아보게 되어서 80~100만원 정도로 견적을 짜고 있습니다. 용도는 게임은 일절 안하고 문서 작업이나 영상 시청 위주로 갈 것 같습니다. 사무용이라 여러 창을 많이 띄우고 작업할 거 같구요. 너무 고성능은 필요없고 저장공간은 최소 1TB 이상이었으면 좋겠습니다. 이 구성에 그래픽 카드는 RTX 16 시리즈로 하나 채워 넣을까 고민중인데 혹시 용도에 비해 너무 오버 스펙이거나 더 채워야 할 부분이 있을까요?,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 사무용으로 구성을 하신다면 14500 + 내장그래픽 구성이면 충분해 보입니다 ^^ 물론 일반 사무용이라 5600G 내장으로 구성을 하셔도 충분합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. user_869055 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 언급하신 사용 용도라면 라이젠 5700X3D도 문제없겠습니다만 반대로 인텔 14500 제품으로 구성해도 충분하다 판단되니 두가지 견적서 전달드립니다 둘 중 선택하셔용 구매 고려중이신 CPU쿨러는 CPU에 비해 조금 더 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 메모리 부분은 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품으로 구성하면 호환에 문제없습니다 DDR4 규격이 12년도부터 상용화되었으며, 3200클럭 메모리가 19년도부터 널리 사용되었던지라 출시한지 이미 오랜 시간을 거쳐 안정화가 진행되었습니다 지나치게 저렴한 라인업이나 특정 제품이 아니라면 SK 하이닉스 해외 자회사인 ESSENCORE 사 제품은 문제없으니 그대로 구성해도 괜찮습니다 -"
308,제가 서브컴으로 쓰던 컴터를 정리할까 하는데 형님들 좀 봐주십시오!,2024.07.01 01:45,중고 가격에 대해 질문을 드리는건데 문제가 있는 질문이라면 답변 달아주시면 삭제하도록 하겠습니당! [INTEL] 코어13세대 i9_13900K 정품박스(24년6월25일경 씨피유 새걸로 무상교체 받아서 교환함) [ASRock] Z790 스틸레전드 WiFi D5 디앤디컴 (인텔Z790/ATX) [G.SKILL] DDR5-48000 CL30 RIPJAWS S5 J 화이트 패키지 (64GB(32Gx2)) [SK hynix] Platinum P41 M.2 NVMe SSD 2280 1TB TLC [시소닉] PRIME PLATINUM PX-1600 Full Modular (ATX/1600W) [LIAN-LI] GALAHAD AIO 360 UNI FAN SL Edition (WHITE) [CPU쿨러] [LIAN-LI] 리안리 UNI FAN SL120 WHITE (1PACK) [시스템쿨러] X4 [LIAN-LI] 리안리 UNI FAN SL120 WHITE (3PACK/Controller) [시스템쿨러] [LIAN-LI] PC-O11D XL ROG White (빅타워) PNY XLR8 지포스 RTX 4090 VERTO EPIC-X RGB TF OC D6X 24GB 마이크로닉스 이상이 중고로 팔려는 컴터 스펙입니다. 22년10월경 그래픽카드만 빼고 컴퓨존에서 주문했습니다. (그래픽카드는 본체 주문전 출시한 당일?다음날?정도에 바로 먼저 따로 구입을 한 상태였습니다.) 씨피유는 24.6월말에 새걸로 무상교체 받아서 바꿔서 끼워놓은 상태이구요. 제가 거의 메인컴만 쓰고 서브컴은 전원도 잘 안켜다 보니 올연말 5090맞추는데 보탤까해서 정리할까합니다. (그래도 메인컴 사기전까지 1년정도?매일 사용하던 본체입니다!) 가격이 결정되면 먼저 퀘이사존 중고장터에 먼저 올려볼 생각인데 이정도 가격이면 잘팔린다!아주싸게판다!하는 가격 좀 조언 부탁드립니다. #박스가 현재 씨퓨박스/파워박스/메인보드 박스까지만 보이고 ...글카박스가 행방불명상태..ㅠㅠ이게 어딜간건지...참고참고...,저게 서브컴이라니!!
309,이 스펙으로 QHD 하고 4K 듀얼모니터로 가능한가요?,2024.07.01 01:32,메인보드 : MSI X670E 토마호크 CPU : AMD 라이젠 7950x3D 메모리 : DDR5 4800 16GB x2 SSD : P41 2T x2 GPU : RTX4090 SUPRIM 24G 파워 : SF-1000F 14XP LEADEX VII PRO PLATINUM 이 스펙 보고 있는데요 듀얼 모니터를 하고 싶은데 하나는 QHD 하나는 4K로 보고 있습니다 물론 메인 모니터는 4K로 할겁니다 QHD는 웹사이트나 유튜브 혹은 디스코드를 할려고 하구요 저 스펙으로 QHD 하고 4K 듀얼 모니터 출력이 가능한가요?,안녕하세요 아싸컴입니다 문의 주신 님의 스팩이라면 4K 고주사율로 하셔도 크게 문제는 없습니다 ^^ 다만 그만큼의 그래픽 사용률은 올라가기 때문에 이경우 그래픽 발열이 좀더 발생하는것은 어쩔수 없습니다 || To. AMDMSI 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 고려중이신 예산과 사용 용도를 기반으로 견적을 구성 할 경우 호환에 문제없는 견적으로 그대로 구매하셔도 무방합니다~! 다만 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE 메모리로 구성하여도 충분하겠습니다
310,컴터 고수님들 환영합니다. 도와주세염,2024.07.01 01:28,A520AM4-M3 메인보드 파워 500 메모리 16 기가 충분 SSD 500 충분 Cpu는 뭔지 모르겠네요 글카 뭐가 적당할까요? 하는 게임은 피파4 끝입니당 차피 이걸로 배그는 무리일 것 같고 아니면 배그까지 가능하도록 하면 메인보드를 바꿔야되나여? 파워500이라 약할것같긴한데 괜찮을까여? 고견들 부탁해용 사무용 컴터 갖고온거에여,안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 그래픽이나 CPU 제품 정보 도 적어주시는게 견적이나 도움을 드리는데 좋을 듯 합니다.. 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. S12NG 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용! 해당 예산 기반이라면 라이젠 5600 + RX 6600 조합으로 추천드립니다 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
311,pc견적 문의드립니다! 주식 및 개인업무용,2024.07.01 01:26,"안녕하세요 PC 견적을 짰는데, 문의 드립니다. 컴알못이라 여기저기 많이 찾아보고 최종적으로 짜봤습니다. 사용용도 : 주식거래용 (HTS 사용) 및 개인업무용 (크롬 창 15개 이상 사용 / 포토샵 가벼운 이미지 편집. 포토샵은 일주일에 3번도 쓸까말까 하고, 사용시간 자체가 매우 짧습니다.) 게임은 하지 않아요 오래 사용할 생각으로 짜봤습니다. 태클도 환영이며 문의드릴 내용 한번 남겨보겠습니다. 모니터 : 32인치 QHD 2대 CPU : 인텔 코어 I5 14500 메인보드 : MSI PRO B760M-A WIFI 메모리 : 삼성 DDR5 PC5 44800 16GB X 2개 SSD : 하이닉스 골드 P31 M.2 NVME 2280 1TB 케이스 : 다크플래쉬 DS900 ARGB 강화유리 블랙 미들타워 파워 : 마이크로닉스 CLASSIC II 풀체인지 700W 80PLUS BRONZE 230V 쿨러 : 3RSYS Socoool RC-1800 문의내용 1. 제가 짠 견적 제품끼리 호환? 문제는 없는지 2. 제가 짠 견적 제품에서 제가 가지고 있는 SSD (삼성SSD 870EVO 정품 1TB) 추가가 가능한지 3. 제가 짠 견적에서 NVDIA GeForce GTX 1050 Ti 그래픽카드 추가가 가능한지, 가능하면 추가해도 별 문제가 없을지 감사합니다.","안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 주식이나 일반 사무용 정도라면 14500 + 내장 그래픽으로 구성을 해주시면 좋을 듯 합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. user_975098 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 구매 고려중이신 CPU쿨러는 CPU에 비해 조금 더 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
312,엔지니어링 업무 & 여가 시간 게임 용 PC 견적입니다. 지적 부탁해요,2024.07.01 01:21,"안녕하세요.. 10년전에 샀던 PC가 이젠 잘 돌아 가지도 않네요. 바꿀려고 6개월동안 가볍게 눈팅만 하다가, 이젠 그냥 살때가 되었다 싶네요. 주요 용도는 1. 엔지니어링 업무 : 2D/3D design tool 활용 편집, 대규모 자료 분석 2. 여가 시간 게임 : 최근 출시되는 게임,,,? 10년만이라,, 너무 많이 바꼈네요, 지적 부탁드립니다.","안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 240만원대로 게임 + 작업도 하셔야 하는거라면 AMD 라이젠 7900 + RTX 4070 TI SUPER 까지 도 구성이 가능합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. user_975101 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메모리의 경우 사용 용도에 ""작업"" 용도로도 사용하신다면 웬만해선 순정 메모리로 구성하시는 편을 추천드립니다. DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
313,모니터 안 켜짐 . 컴맹,2024.07.01 01:15,안녕하세요 컴맹입니다. 이거 모니터 안 켜지는데 뭐가 부족한건가여? 철물점 가서 뭐라해야되나요 이거 선 사야되는건가,cpu가 뭔가요? 내장 그래픽이 있는 제품인가요?없으면 외장 글카 장착해야 해요. 축하합니다! 행운 포인트 1점을 획득하였습니다. || @둘프스 내장 있을겁니다 아마 사무용 컴터 갖고왔는데
314,용산이나 가산 근처에 pc조립 잘 하는곳 있을까요???,2024.07.01 01:08,"견적을 짜고 컴퓨존 방문수령 할려고 하는데 우선 저는 컴맹이고 조립에 조짜도 모릅니다... 그래서 조립하는 곳좀.... 집에서는 가산이 가까우나 조립을 위해서라면 용산에서도 방문수령하고...pc조립을 맡기고 싶습니다 나름?고가 pc고 사용할 케이스 쿨러들이 역방향,정방향 나눠져있고.. 용산,가산 조립 잘 하는곳 있을까요?? 두곳 아니어도 근방이라믄 가지고 갈께요 경험 있으신분들 조언 부탁드려요...",용산에 PC조립업체가 굉장히 많습니다 방문을 하실거라면 카카오톡 상담 한번 주시고 오시는게 좋을 듯 합니다 ^^ || 조립하기 귀찮은데 정작 어떻게 조립 해야 할지 막막한데 믿고 맡길 수 있는 곳이 없을까? 다른 곳에서 구매해도 조립해 줄까? 네 다 됩니다! 아주 많은 분들의 요청을 받고 고민 끝에 조립대행 서비스를 드디어 시작했습니다. 1. 카톡으로 상담받고 2. 부품 보내주시면 끝! 조립 + 바이오스 최적화 + 출고 전 사진 촬영 + 정밀 테스트! 기대해 주셔도 됩니다. 명불허전 근본 조립으로 보답하겠습니다. https://farmpc.co.kr/bbs/community.php 조작없는 리얼 100% 구매 후기!
315,이륙 해도 될까요?,2024.07.01 00:30,더 싸게 가능하면 다른 견적도 추천 부탁드립니다,"안녕하세요 퀘이사존 공식후원사 피씨팩토리입니다. 견적서 및 답변내용은 v 펼치기를 통해 확인할 수 있습니다. ----------------------- 답변내용 ------------------------ * 4060 TI 구성의 견적이고 게임용이시라면 가격은 7500F + RTX 4060 TI 구성으로 진행을 하시면 충분히 가격대를 내려서 구성이 가능합니다 ^^ 다른 궁금하신 점은 아래 실시간 카카오톡 상담을 통해 진행하시면 빠른 상담이 가능하고 구매나 부품 수정을 원할 경우 빨간색 구매하기 버튼을 통해 진행 가능합니다. || To. 응애응애응애응애 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 구매 고려중이신 CPU쿨러는 CPU에 비해 조금 더 높게 잡혀있다 보여집니다, 추가하신 제품보다 체급을 조금 더 낮춰 구성하여도 충분히 안정적으로 사용이 가능하다보니 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 DDR5 메모리 기준 EXPO / XMP 적용 없이 순정 상태로 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
316,7800x3d 랑 4070s 쓰는 견적좀 짜주실수 있나요,2024.07.01 00:30,7800x3d 랑 4070s 쓰는 견적좀 짜주실수 있나요 컨셉은 화이트 ssd는 sk 꺼 1테라 박아주시구요 예산은 270 입니다 솔리드웍스라는 프로그램을 돌릴 예정입니다.,"To. user_975088 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 구성하였습니다 구매에 참고해주시구요, 해당 예산이라면 RTX 4070 SUPER 뿐 만 아니라 RTX 4070 Ti SUPER 조합으로도 가능하니 둘 중 선택하심 되겠습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE 메모리로 구성하시는 편을 추천드립니다 - || To. user_975088 님 안녕하세요. 고려중이신 예산과 사용 용도를 기반으로 조립 서비스까지 포함하여 견적을 구성하였습니다. 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 구성하였습니다 구매에 참고해주시구요, 해당 예산이라면 RTX 4070 SUPER 뿐 만 아니라 RTX 4070 Ti SUPER 조합으로도 가능하니 둘 중 선택하심 되겠습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 SK하이닉스 칩셋을 사용한 ESSENCORE 메모리로 구성하시는 편을 추천드립니다 -"
317,i5-4690 -> 7800x3d 주말내내 굴러가며 견적짜봤습니다 조언부탁드려요,2024.07.01 00:17,"안녕하세요. 드디어 9년 가까이 쓰고있는 i5 4690 에서 이제는 좀 컴퓨터를 바꾸려 합니다. 제가 봐도 징그럽네요 하나 하나 살펴보면서 짯는데요, 가장 걱정되는게 쿨러입니다. 보통 하단부와 측면을 흡기로 한다고 들어서 [ 3RSYS Silence GI 120 데이지체인 리버스 3팩, 화이트 ] 제품을 2세트 시켜 하단부와 측면에 3팩씩 장착할 예정이고 [ 3RSYS Silence GI 120 ARGB 3팩, 화이트 ] 제품을 1개를 시켜 케이스 후면부에 1팩 장착하고 [ 3RSYS Socoool 라니 XY-360 Quiet 화이트 ] 제품을 케이스 윗부분에 장착할 예정입니다 제가 잘 구성했는지 모르겠습니다 혹시 호환이나 , 이건 좀 이상하게 견적 짯다 싶은것 있으면 말씀주시면 감사드리겠습니다! 케이스 이렇게 생겼습니다!",언급하신 사용 용도 외 다른 용도는 없으신걸까요? 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb || 언급하신 사용 용도 외 다른 용도는 없으신걸까요? 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
318,이륙 가능한가요?,2024.07.01 00:05,드래곤볼 예정입니다. 일단 원하는 부품 담았는데 이렇게 담아도 문제없는건지 궁금해요. +램은 잘 모르겠어서 추천부탁드려도 될까요..?,"To. SSoma 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라 || To. SSoma 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 화이트 감성에 잘 어울릴 수 있도록 일부 부품을 화이트 제품으로 약간 수정하였습니다 구매에 참고해주시구요, 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 메모리 부분은 게이밍 프레임 향상을 위해 EXPO / XMP 튜닝램으로 구매하시는 경우라면 6000클럭 이상 제품 기준 SK 하이닉스 칩셋을 이용한 제품으로 추천드립니다 DDR5 메모리 기준 EXPO / XMP 적용하여 사용하시는 경우라면 하이닉스 칩셋을 사용한 메모리가 불량률도 낮고 호환성이 좋으며 안정성도 높은 부분이라"
319,cpu 공랭 어떻게 저렇게 달 수 있는 거에요?>,2024.06.30 23:40,,잘 달았네요. || @일해라운영진 앗 방법이 궁그맿서요
320,군대 말출 나와서 컴퓨터 깔삼허게 맞추려는디 한번 봐줘잉,2024.06.30 23:04,Qhd 하는게임은 사펑 배그 임당,To. Minji03 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! 7600 / 7500F CPU를 기반으로 구성하시는 경우 싱글타워 공랭으로도 충분히 발열 제어가 가능하고 듀얼타워는 과한 감이 있어서 변경하셔도 충분하십니다. 구매 고려중이신 메인보드는 M.2 SSD 방열판이 기본 구성품으로 없는 모델이다보니 SSD의 발열을 효과적으로 해소하기 위해 M.2 SSD 방열판을 1개 추가하여 구매하시는 편이 더욱 안정적입니다! || 봐달래서 봤음
321,지*켓에서 조립컴 사는거 별루일까요??,2024.06.30 22:58,할부로 사려고 하는데 지마켓이 가장 조건이 괜찮아보이는데 저대로 사면 오버워치정도 돌아갈까요,제품들을 보니 나쁜 선택으로는 안 보입니다.
322,6년만에 컴퓨터 교체 견적 문의,2024.06.30 22:48,안녕하세요 6년만에 컴퓨터 사려고 하는데 호환성 견적 괜찮은지 문의 드립니다 컴맹이라 인터넷 보고 대충 골랐습니다 rgb는 안 좋아해서 그냥 올블랙으로 맞췄습니다 게임은 배그 롤 원신 정도 하고있습니다 모니터는 LG 24gn600 입니다,To. user_973885 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용 메인보드 부분이 CPU에 비해 높게 잡혀있다 판단되는데 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요 || To. user_973885 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 다만 수정할 부분이 있어서 해당 부분을 보완하시는 편을 권장드리고싶어용 GeIL DDR5-5600 CL46 PRISTINE V (16GB) 서린 제품의 가장 큰 장점은 해당 제품에 EXPO / XMP 값이 내장되어있습니다 해당 메모리를 장착했을 때 바이오스 버전에 따라서 4800 / 5200클럭으로 동작하는 경우가 많은데 그 때 바이오스 버전과 관계없이 5600클럭으로 적용해서 사용이 가능한 이점이 있습니다! 그렇다보니 해당 모델을 자주 추천드리고있구용 메인보드 부분이 CPU에 비해 높게 잡혀있다 판단되는데 추후에 CPU 등 업그레이드를 고려하여 일부러 체급을 높게 잡으신 경우가 아니라면 낮춰 구성하여도 무방하셔요
323,견적 질문 드립니다!,2024.06.30 22:33,게속 고민하다 결정한 견적입니다! 호환에는 문제없는지 질문 드립니다!,To. 나나나나나나나 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 고려중이신 예산과 사용 용도를 기반으로 견적을 구성 할 경우 호환에 문제없는 견적으로 그대로 구매하셔도 무방합니다~! 다만 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb || To. 나나나나나나나 님 안녕하세요. 견적 구성은 굉장히 잘 하셨습니다. 고려중이신 예산과 사용 용도를 기반으로 견적을 구성 할 경우 호환에 문제없는 견적으로 그대로 구매하셔도 무방합니다~! 다만 비슷한 금액대에서 더 좋고 안정적인 제품으로 살짝 수정하시는 편을 추천드리다보니 제품 일부분을 약간 변경하였습니다! From. 퀘이사존 공식 후원사 팜피씨샵 견적에 대해 궁금하신 점과 부품 변경을 원하시면 아래 카카오톡으로 채팅 남겨주세요! https://pf.kakao.com/_epfZb
324,7500f 4070s 보드 문의 드립니다.,2024.06.30 22:29,이륙 직전인데 cpu 7500f 글카 긱바 4070s 겜오씨 메인보드를 b650으로 가야 할지 b650m으로 가야 할지 고민 중입니다. 추후 필요성에 따라 cpu 업글이 있을 수도 있는데 atx와 m-atx보드가 10만원 차이라면 안정성?을 위해 그냥 atx 보드 가는 게 낫나요? 1. asus tuf gaming b650-plus 2. asus tuf gaming b650m-e 3. asrock b650m pg riptide 셋 중 추천 부탁드립니다.,다른 형님들처럼 전문적인 의견은 못드리지만 이번에 미들타워로 b650m에 4070s aero 맞춰서 잘 조립 했어요 문제없이 쓰고있구용 제품은 보통 립타이드 많이들 추천하더라구요 전 aorus elite ax ice인데 조립 잘 됐어용 matx도
325,라이젠 5700x3d vs 라이젠 7700,2024.06.30 22:20,"현재 제가 쓰고 있는 cpu가 라이젠 3600 입니다. 이번에 cpu 좀 바꿀려고 하는데 5700x3d로 그냥 부가적인 업글 없이 cpu만 바꿀까 아니면 다 갈아엎어서 7700을 쓸까 고민중인데 저처럼 이렇게 5700x3d랑 7700을 비교하는 글이 많이 없어서 퀘이사존 여러분들께 여쭈어 봅니다... 용도는 게임입니다. 롤, 엘든링, 몬헌, 갓 오브 워 등등 사양 많이 드는 비디오게임 좋아합니다.",7700은 다갈아업어야하니까 4k 모니터 아닌이상 5700x3d 추천합니다 물론 사용중인 메인보드론 바이오스 업데이트를 하셔야겟죠 다갈아업을 자신이쓰시면 9천번대로 생각하셔야겠습니다 축하합니다! 행운 포인트 9점을 획득하였습니다.
326,120~140 배그견적 부탁드립니다.,2024.06.30 21:16,"윈도우는 키를 가지고있습니다. 용도는 배그이며, 램은 32, ssd는 1테라로 120~140으로 가능한 저렴한견적/140 꽉채운 견적 부탁드립니다.","안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 193,600원 193,600원 || 안녕하세요, 신뢰을 조립하는 컴퓨티파이 입니다! 고민 중이신 견적 확인하였습니다. 컴퓨터를 정말 좋아해서 모인 컴퓨티파이답게 내가 집에서 사용할 피씨 조립한다는 생각으로 하나씩 조립해가고 있습니다 고려 중이신 예산으로 사용 용도를 견적을 구성하였습니다. 고민 해보시구 언제든 카톡 주시면 친절하게 안내 드리겠습니다! 이미지 카테고리 상품명 수량 가격 합계 CPU AMD 라이젠5-5세대 7500F (라파엘) (멀티팩(정품)) 1 193,600원 193,600원"
