작성일,커뮤니티명,질문 제목,질문 내용,답변 1,답변 2,답변 3,답변 4,답변 5
2022.10.06 작성,사람인-자소서,이력서 미열람,알바몬에서 계약직 사무직 이메일지원했는데 4일째 이력서 미열람에 공고 올린지 하루만에 공고마감.. 지원자가 생각보다 많아서 그런가보다 생각했는데 아직도 미열람인거 보니 이상하네요ㅠㅠ 다른 사업장의 직원구인을 대신 해주는 파견업체 같은데 그 담당자가 다른 지역 여러개의 공고를 담당하는 것 같더라구요 5-6개 정도..? 그래서 확인이 늦는걸까요ㅠ 열심히 썼는데 열람조차 안하니까 너무 속상하네요..,음 그냥 이런회사 내가 패쓰한다~ 생각하시고 슥 잊어버리시면 장땡입니다. 구직자에 대한 배려가 없는 기업은 패쓰하셔욥~! 내가 더 좋은곳 가고 만다! 하고 다른곳 더 많이 지원하시길 추천해요,,,,
2022.10.05 작성,사람인-자소서,이력서 열람에 대해서 고민히 많습니다,"괜찮아보이는 회사는 여기저기 넣어보고 있는데 열람은 해도 연락이 오지 않으니까 괜히 초조해지고 마음이 싱숭생숭합니다... 보통 다들 열람 후 연락 오는걸 최대 며칠까지 기다리는지, 여러군데 넣어도 연락이 오는 곳이 없으면 포트폴리오/이력서를 바로 고치는지 아니면 더 많은 곳에 넣어보는지가 궁금합니다 떨어져도 바로 연락이 와야 마음이 편한데 결과를 알려주는 곳이 극소수라 그런지 잡 생각이 더 많아지는 것 같네요ㅠㅠㅠ","일주일정도 기다리는 편입니다. 친구들은 이주나 한달정도 기다라고 연락받았다던 경우도 있다 하던데, 전 일주일넘어서 연락없는데 집착하면 의욕이 죽더라두요",진짜 보통 2주내로 안오는거면 머리속에 그 회사는 지우는게 현명한 것 같아요!,마냥 기다리는 것보단 2주정도 연락 없으면 경험치 쌓았다 생가하고 슥~! 패스해 버시리면 됩니다. 그리고 더 좋은 회사 가면됨! 흥칫뿡 하는 마인드로 슥~~ 넘어가는걸 추천해요 그리고 이력서 최대한 많이 지원해 두셔서 합격 확률을 높이시길 바라겠습니다,저는 열람하고 최대 5일까지는 기다렸던 것 같아요. 근데 연락 없으면 보통 아 관심없나보다 하고 다른 곳에 지원했었습니다! 연락 안오면 그냥 서류에서 떨어졌다고 생각하는 편이에요.,
2022.10.04 작성,사람인-자소서,작성방법에 대해 여쭤봅니다,회사 양식을 사용해야하고 (상?중?하) 또는 (재학?졸업?중퇴) 이런부분이 있을 경우 선택해야하는 부분 제외하고 다른 부분은 삭제해야할까요 ?,설명이 이해가 잘 안가긴 하느데 결론부터 말하자면 봤을때 깨끗하고 직관적인 느낌이 있어야 합니다. 지우는게 깨끗해 보인다면 그 방법도 추천해요,그냥 굵게 하시고 글씨 크기 하나 더 키우세요.,,,
2022.10.04 작성,사람인-자소서,나이는 못 속여,신랑 눈치 보기 싫어서 큰 맘 먹고 용기내서 이번주 열심히 일자리 알아 보려고 하는데..너무 아파요.. 정말 아파요...그렇다고 식구들이 알아주는것도 아니고 아침에...저녁 설거지 하는데 와~~~~눈물 나다네...,경제권=발언권..! 이라는 말이 있쬬 지금은 힘드시더라도 사회생활 하시면서 얻는 에너지가 또 있으니까 곧 좋은날이 올겁니다! 우선은 몸 챙기는게 먼저니까 당장 취업보다는 운동하고 힐링하시면서 몸과 마음부터 먼저 챙기시길 추천할께요! 오늘도 화이팅 입니다 :D,,,,
2022.10.03 작성,사람인-자소서,처음인데 자소서 양식은 어디서 구했어요?..,조금만 도와주실분 ㅠ,아니면 사람인 이력서 양식 다운로드 게시판 https://www.saramin.co.kr/zf_user/pds-resume/resume-download 여기서 다운 받으시는 것도 추천해요 이쁜거 많습니당,사람인 입사지원 할때는 기본 양식 쓰시면 됩니당,"자소서 양식이라기 보단, 자신의 이야기를 보기쉽게 알아듣기 쉽게 적는 연습하시면서 지원-탈락/합격 경험을 해보시는게 더 좋을 것 같습니다.",링커리어라는 사이트 추천 드릴께요. 자소서 작성하다가 막히는 부분 있을 때 다른 사람들은 어떻게 작성했는지 참고할 수 있습니다.,저는 자소서는 기업이나 산업에따라 조금씩 다르게 적어서 제출했어요. 기본적으로 양식이라고 하면 네이버나 구글에 자기소개서 양식이라고 치면 나올거예요! 아래 링크 참고해도 좋을 듯하네요! https://post.naver.com/viewer/postView.nhn?memberNo=50349790&volumeNo=31888929 저는 개인적으로 처음 지원동기란이 중요하다고 생각하기에 제 경력이나 가치관에대한 아주 간략하고 핵심적인 부분을 넣어요. 그 다음으로 기업에따라 경험이나 경력을 먼저 어필할지 또는 가치관과 성격 등을 먼저 어필할지 정해서 그 중심으로 적었구요! 여러 미사여구를 사용하거나 말을 길게 적기보다는 간단히 핵심을 담으면서 정직하게 서술하고 마무리는 입사포부? 느낌으로 작성했습니다 ㅎㅎ
2022.10.03 작성,사람인-자소서,자소서 쓸 때에 질문드립니다,"자소서 쓸 때에 보통 업무와 관련된 자신이 경험한 것 위주로 서술하잖아요, 보통 아르바이트나 경력증명서를 제출할 수 없는 건 이력서에 쓰지 말라고들 하던데 그럼 자소서를 쓸 때에 경력증명서로 입증하기 어려운 아르바이트때 한 경험으로 쓰면 안되는건가요?",다 써도 됩니다. 단 직무에 관련 있는 알바면 더 좋아요! 쓰고 싶은건 다 쓰세요 그래야 후회가 없습니다. 그리고 마지막으로 다쓰고 난 담에 제3자의 눈으로 내가 사장이라면 나를 뽑을까? 하는 생각으로 마지막으로 쏵~ 훑어보시길 추천합니다 그럼 퇴고하는 방향이 나와요. 내가 나를 잘 팔릴수 있게 작성하심 됩니다 :D,다 써도 됩니다 신입지원이시면 다만 경력직으로 지원하셨다면 증빙하셔야하구요 전 회사의 업무가 당락에 결정적 영향을 주지 않는다면 대부분의회사에서는 그냥 믿어요,,,
2022.10.01 작성,사람인-자소서,에이큐,서류 발표일이 30일이었는데 30일 오후가 넘어서 지원서 열람했더라구요 .. 서류 탈락한것 같은데 연락이 안와도 이해하지만 당일 확인이라뇨 .. ㅋㅋ,답변 없음,,,,
2022.09.30 작성,사람인-자소서,이력서 제출했는데 수정하고 새로 하고 싶은데 괜찮을까요..?,제가 이력서 제출을 했고 업체에서 열람까지 했는데 이력서에 자소서 내용을 더 추가하고 싶은데 다시 제출해도 괜찮을까요..?,이제 하늘에 달렸숩니다!~ 자소서 쓰느라 고생하셨어요,이미 열람한 상태라면 기다려 보시는걸 추천해요,의미가 없을 거 같습니다.,,
2022.09.30 작성,사람인-자소서,자기소개서,자기소개서를 작성하려고 하는데 제가 사수 없이 2년동안 일을 했거든요 사수 없는 경험을 바탕으로 자기소개서를 작성해도 괜찮을지 걱정입니다,완전 가능하죠! 혼자 고군분투 하면서 성과로 이어진걸로 어필하시면 정말 굿굿 입니다. 일잘하는 사람 뽑고 싶어하는데 사수없이 해냈다는건 정말 대단한 점 이거든요 충분히 어필 가능합니다 좋은 결과로 이어지시길 바래요!,,,,
2022.09.29 작성,사람인-자소서,자소서 글자수 관련 ㅜㅜ 도와주세영...,"답답한 마음에 여기에라도 여쭤봐요. 제가 지원하려는 회사가 글자수 제한이 문항마다 다르긴한데 1600바이트,2000바이트에요. 전 워드에 미리 써 놓고 복붙하는 스타일이라 이번에도 그렇게 했는데, 잡코리아, 네이버글자수세기 프로그램에서는 글자수 넘는 항목이 없었거든요. 근데 회사 사이트에 복붙하니까 자소서 문항 전부 다 글자수 초과라네요.... 왜그런걸까요.....",어쩔수 없어요 그럴땐 걍 회사 양식에 맞추는 수 밖에 없습니다 문항마다 1~2줄씩 요약하거나 압축해보세요! 로마에 가면 로마법을 따라야한다~!! 이말이 맞습니다. 그회사가 그런거라면 맞춰야 해욥 건승하시고 좋은 결과로 이어지길 바랍니다 :D,"글쎄요 그건.....회사 사이트에 있는 자소서 입력란의 글자수 제한이 걸려있는 것과 관련된 문제라서, 여기에서 보는 분들도 정확한 원인은 모를 거예요. 그러니까 쉽게 말해 그 회사 사이트를 만든 프로그래머만 원인을 알 수 있다는 의미입니다. 계속해서 글자수 초과라면 사측에 '글자수를 체크했는데도 글자수 초과라고 떠서 등록을 할 수 없다'고 연락을 해서 사이트 점검을 해달라고 하는 게 맞는 것 같아요. 지원자 입장에서 그러기 껄끄러우시다면 자소서를 어느 정도 축약해서 다시 작성하시거나 사이트 오류로 첨부하지 못했다고 하고 메일로 따로 지원하는 방법을 써보시는 것도 괜찮을 것 같아요.",,,
2022.09.27 작성,사람인-자소서,디자이너 자소서 궁금해요!,포트폴리오나 자조서에 수치화해서 작성하라고 많이 들었는데 그래픽 디자이너나 브랜드 디자이너는 어떤걸 수치화해야할까요..매출이나 고객수 증가를 해야하나요? 아직 신입에 가까운 연차라 크게 눈에 띄는 수치를 보여줄 수가 없어 어려워요,"디자이너는 디자인 결과 이미지 자체로 어필하시는 게 좋습니다 내가 왜 이렇게 디자인 했고, 그래서 어떤 디자인이 나왔는지 가 어필되면 좋습니다 예뻐서 이렇게 했어요! 보다는 왜 이런 디자인으로 구상했는지, 디자이너의 '생각'도 포함하시는게 좋아요!",,,,
2022.09.25 작성,사람인-자소서,자소서작성하는법,"서비스직일하다가 사무직으로취업하고싶은데 자소서를 써본적이없어서 뭘 어떻게 써야할지,,모르겠어요ㅜㅜ 주변에 도움을 줄 사람두 없구요 학교도 조리학과나와서 너무 관련두없구.. 어떤것부터 쓰는게 좋을가요 예시를 찾아보는데도 너무 어려워서요",크몽같은 곳에선 저렴한 가격대 부터 큰 금액대 까지 컴펌해주더라구요~~,제일좋은건 컴펌받는걸 추천드려요!!,자소서 사람인 현직자한테 컨설팅 받을수 있어요 https://www.saramin.co.kr/zf_user/company-review-qst-and-ans/detail-page?qust_idx=59880 이글 참고하시면 오픈채팅 방 있는데 들어가서 물어보시는거 추천요! * 10만 명의 서류를 검토한 현직자의 은밀한 TALK ① 대규모 채용 서류전형을 도와주기 위해 사람인 현직자가 나섰다! 서류검토 현직자에게 물어봐 :D ② 오픈카톡방 링크 : https://open.kakao.com/o/sfhcR0Be,혹시 서울거주중이시면 청년센터를 이용해보는것도 하나의 방법이네요 https://youth.seoul.go.kr/crm/front/index.do,정 어려우시면 컨설팅 받으시는것도 추천드립니다. 대략 두서없이 써도 자소서 형식에 맞게 정리해 주십니다. 실제로 도움받아 취업한 1인입니다. 네이버에 자소서 컨설팅 검색하시면 뚜루룩 나오니까 추천드려요 비용은 3~5만원선
2022.09.23 작성,사람인-자소서,특성화고졸업 후 자소서 작성,안녕하세요 저는 특성화고 졸업 후 회사를 퇴사 후 다시 취업준비를 하고 있는 취준생입니다. 다름이 아니라 제가 자소서를 쓸 때 고등학교 관련 내용으로 많이 썻는데 이제는 회사경험을 바탕으로 직무에 연관되게 쓰는 게 좋을까요? 어떻게 작성을 하는 게 낫나요 ..? 전 회사가 회계쪽이고 1년1개월정도 재직했습니다 취업을 준비하는 곳도 회계쪽으로 준비하고 있어용,안녕하세용 저도 특성화고 졸업하고 첫 회사 5년 6개월째 근무중입니당 10월에 퇴사를 앞두고 이직준비를 하는 과정에서 이력서를 작성할 때 전에 썼던 고등학교때 일은... 정 쓸게없을때 ㅎㅎ(현 회사 업무를 복붙하는 느낌이 들때..) 그때 씁니당 회사업무를 쓰는게 더 나아보여요! 회사업무+자기계발(고등학교때부터 ~~해서 회사에서도 이렇게 녹였다 등등) 서류합격은 웬만하면 다 되더라구요! 같이 이직 취뽀해용,"즉, 전직장에서는 이렇게 일해서 이런 성과를 냈기에 이 회사에 와서도 잘! 할수있다 이 부분이 자소서에 어필 되어야 합니다 좋은결과 있으실 거에요 홧팅!",네 맞습니다! 회사에서는 고등학교 경험보다는 사회에서 직접 실무한 경험을 더 우선해요 이사람을 뽑아서 우리회사에서 일을 하면 과연 회사에 이익을 줄 사람인가?! 를 보고싶은 거라서 학생때 경험보다는 1년 넘게 일한 전 회사의 경험과 성과를 팍팍 어필하시길 바랄께요 :D,둘 다 쓰세요.,
2022.09.23 작성,사람인-자소서,"사람인 이력서, 자소서 제출이라는데","지원하려는 곳에서 사람인 이력서, 자소서 이렇게 제출하라고 하는데 그럼 자소서 파일을 따로 제출해야 되는 걸까요 아니면 이력서 안에 있는 자소서 항목만으로도 괜찮은 걸까요 ㅠ","사람인 이력서 작성하기 누르면 이력서 + 자소서 각각 하나의 포맷 안에서 작성할수 있잖아용! 그걸로 편하게 입사지원 하시면 됩니다 :D 즉 따로 제출할 것 없이, 이력서 안에 있는 자소서 항목포함해서 한번에 제출하심 됩니당 좋은결과 있으시길 :D",,,,
2022.09.22 작성,사람인-자소서,[공지] 취뽀하고 싶은 사람IN,"??안녕하세요, 사람인입니다. 9월이 시작됨과 동시에 삼성이 역대급 대규모 채용의 소식을 알렸습니다 ! 역대급 채용을 알린 삼성을 시작으로 많은 기업들이 '대규모 공채'를 시작하고 있는데요 ...! 공채=사람인 인데 저희가 가만히 있을 수는 없겠죠? 그래서 OPEN 했습니다?? 여러분들의 하반기 공채 시즌을 도와주기 위한 콘텐츠 ?10만 명의 서류를 검토한 현직자의 은밀한 TALK? 자기소개서 / 스펙 / 서류 관련하여 상담받고 싶을 때, 1대1 오픈카톡방 참여하여 자유롭게 현직자와 대화하세요! 자소서 첨삭부터 고민까지 속시원한 해결책 드리도록 하겠습니다?? ▶ 10만 명의 서류를 검토한 현직자의 은밀한 TALK?? ① 대규모 채용 서류전형을 도와주기 위해 현직자가 나섰다?? 서류검토 현직자에게 물어봐? ② 오픈카톡방 링크 : https://open.kakao.com/o/sfhcR0Be",답변 없음,,,,
2022.09.22 작성,사람인-자소서,자소서에 대해서 질문 드립니다!!,안녕하세요 선배님들!! 이번 SNS 관리자 채용 부문에 지원하려고 하는데 자기소개서는 사람인 이력서에 있는 자기소개서로 충분한 걸까요? 채용시 마감이라 제 이력서가 한 번에 딱 보이는 게 중요하다고 생각해서요!! 제목 같은 경우에는 간단하게 지원 부문_이름 하고 썼는데 좀 불안해서 ㅠㅠ!! 그리고 포트폴리오로 제 개인 SNS 운영 게시글을 모아서 첨부해도 될까요?? 야구를 좋아해서 이 기업에 꼭 취업하고 싶어서 질문 남깁니다!!,그리고 제목은 좀더 어필되는 제목으로 변경하길 추천드려요! 제목부터 튀면 더 좋을것 같아요 예를들면 https://blog.naver.com/nine3870/222646210345 이 블로그 내용 참고하심 좋을것 같아요 수많은 지원자들 이력서 사이에 제목부터 빛나면 더더욱 눈에 띄죠!!! 추천합니당,넹넹 이력서에 sns 넣으셔도 됩니다 저도 넣었구 다른분들도 많이 넣으시구요 이력서에 다 보여주지 못하는 부분들은 노션같은 곳에 정리해서 링크로 추가해도 좋아요~! 분명히 어필되는 장점이니 꼭 넣으시길!,,,
2022.09.20 작성,사람인-자소서,디자이너 이력서 자유양식 질문입니다,공간디자인 쪽으로 이직 하려 합니다 회사는 젠틀몬스터로 트렌드한걸 선호하는 회사로 알고있습니다 이력서가 자유양식인데 디자인해서 지원하시나요 아니면 기본 이력서 양식을 적어서 내는게 중요할까요..? 헷갈려서 여쭤봅니다 ㅜㅜ,아래 링크 디자이너 이력서 이런 느낌이에요 이뻐여~~~ 사용하심 좋을듯,기본적으로 사람인 이력서도 좋은데요 디자이너시니까 통통 튀는 것도 좋을 것 같아요 사람인 디자이너 이력서 양식 https://www.saramin.co.kr/zf_user/pds-resume/resume-download/searchWord/%EB%94%94%EC%9E%90%EC%9D%B4%EB%84%88/page/1/idx/410 https://www.saramin.co.kr/zf_user/pds-resume/resume-download/searchWord/%EB%94%94%EC%9E%90%EC%9D%B8 요것들도 참고 하심 좋을것 같습니다 상큼하고 이뻐영,,,
2022.09.20 작성,사람인-자소서,자소서 안에 경력사항 빈칸으로 둬야할까요 ㅠㅠ,"원하는 직무 환경의 회사에게 제안이 들어와서, 자소서를 작성해야하는데, 이력서안에 ""자기소개""에 경력사향이 있더라구요 ㅠㅠ 그냥 이력서안에 경력사항은 빈칸으로 뒀는데ㅔ 자소서안에 경력사항이라서 빈칸으로 두기 좀 그렇더라구요..ㅠㅠ 왜 관심을 갖되었고 관련과 취득자격증이라도 쓰는게 나을까요? 아니면 그냥 빈칸으로 둬야할꺼요 ㅠㅠ",말씀하신 것처럼 취득 자격증이나 관련 경험 혹은 관련 사회생활 이라도 꼭!! 쓰시길 바랄께요 빈칸보다는 뭐라도 어필될 것을 쓰는 것을 추천드립니다. 그래야 면접에서도 좋은 질문 많이 받으실 수 있어요!,"이력부분 경력은 경력을 간략하게 요약하는 것이고, 자소서 안에 있는 경력 사항은 경력기술서를 표현해놓은 듯 합니다. 경력이 없다면 작성하실 필요가 없습니다. 이력서를 많이 안써보신 분들은 경력자라 할지라도 경력기술서에 어떤 내용이 들어가야 하는지 잘 모르는 경우가 있습니다. 제 개인적인 의견으로는 글쓴분의 태도라면 써도, 안써도 별차이 없어 보이는데, 작성했을 때 보는 사람에 따라 경력자로 오인하는 경우가 발생할 수 있으므로 작성 안하는 것이 더 나을것 같습니다.",,,
2022.09.16 작성,사람인-자소서,이력서에 어학능력 기입을 누락 했습니다,이력서에 어학능력 (회화) 상중하를 기입하는 것을 실수로 누락했습니다. 영어 공인성적은 기입했는데 이럴경우 어떻게 해야할까요?,어학 필수 아닌 곳 이라면 큰 문제 없습니다 어학도 어학이지만 보통 자소서 내용 및 사회생활 경험 등등을 많이 봐요 즉 어학 없다고 똑 떨어뜨리지는 않습니다. 호오시나 꼭 입력하고 싶으시다면 사람인 입사지원은 취소후 재 지원도 가능하니까 찜찜하시면 이부분 활용해도 좋을것 같아요!,어학능력을 필수로 기재해야하는 경우 아니면 큰 지장은 없을것 같습니다. 기재하신 영어 성적을 보고 담당자가 가늠할 것이고 중요해서 꼭 확인해야한다면 지원자님께 따로 연락을 주겠지요,,,
2022.09.13 작성,사람인-자소서,자소서 미열람 질문이요..!,"공고는 마감된 것으로 뜨는데요, 자소서는 계속 미열람이네요..ㅜㅠ 이미 채용된 분이 있는 걸까요..? 그렇다면,, 정말 축하드리지만... 저는 눈물이 날 것 같네요ㅋㅋㅋ큐ㅠㅠㅠㅠ 혹시 저와 같은 경험해 보신 분 계시면 답변 부탁드립니다!",취업 시장에서는 무응답도 응답이라는 말이 있습니다 ㅠ 그리고 제가 알기론 읽은 담에 미열람으로 전환하는 버튼이 있는걸로도 알고있습니다 걍 가볍게 쓰루 하시고 다른곳에 더 지원하셔서 합격 확률을 올리시길 바랄께요! 채용 매너가 없는곳이니 그런 곳 안가길 잘했따~~ 더 좋은곳 가야지~! 액뗌했네 정도로 생각하심 좋을것 같아요!,CASE #1. 또 지원했네? 패스 CASE #2. 올려놓고 신경 안 쓰는 경우. CASE #3. 이미 채용된 경우.,,,
2022.09.12 작성,사람인-자소서,경력직 1분 자기소개 성과,"안녕하세요 제약, 기능식품 생산 취업준비중입니다. 경력직 1분 자기소개는 성과를 언급해야 좋다고 들었는데 입사후 2개월 짤은 기간내 모든 조리 메뉴 숙달후 팀의 리더를 맡아 팀원관리 목표시간내로 작업을 완수하였고 추가로 일부 오후작업물까지 추가작업한것을 언급하려하는데 성과로 볼 수 있을까요","오호 저는 좋은것 같아요 추천입니다. 말씀하실때 수치적으로 몇프로, 몇배, 얼마나 시간을 단축했는지 등등 숫자로 어필해서 말씀하심 더 좋습니다","여기서 말하는 성과란 원가절감,노동비 절감 등을 말하는 겁니다........",,,
2022.09.12 작성,사람인-자소서,연휴에 사측에서 이력서를 열람했다는 소식이 떴는데요..,마감일이 10월까지인 널널한 회사입니다. 어제 이력서를 넣고 연휴가 오늘까지니까 화요일날쯤 열람을 하겠다 생각을... 했었는데요... 오늘 이력서를 담당자가 열람했다고 날아왔는데... 연휴 보장이 안되는 회사라고 생각하는게 맞을까요...? 업계가 워낙 바쁘고 근무일이 엉망이라고 불리는 유명한 업계긴합니다....,아랫분들 말씀처럼 너무 큰 의미 안두시는게 좋습니다! 직접 면접 가보시고 분위기 확인하는게 베스트에욥 좋은결과로 이어지길 바랍니다 :D,"마감일 관계없이 자기들 사정에 따라 열람하는 거라, 그리고 열람에 너무 큰 의미를 부여하지는 마세요. 실제로는 열람해놓고도 연락이 안 오는 데도 많아서요.","뭐 그럴 수도 있고, 아니면 담당자가 딱히 일이 없어서 연휴에도 근무하겠다고 했을 수도 있고요. 거의 대부분은 12일인 월요일 오늘부터 슬슬 업무시작될 거 같기도 하고요. 거야 직급마다 다르겠지요.",,
2022.09.11 작성,사람인-자소서,자소서 성격 (장단점),"자유형식이라 정해진게 없는 곳이라서 지원동기, 대학생활, 입사 후 포부, 성격 장단점 이렇게 쓰고있습니다. 그런데 성격의 단점은 안 쓰는게 좋다고 하는 이야기를 들어서 그런데 아예 안 쓰고 장점만 쓰는게 맞는건가요?? 아니면 그냥 성격 항목을 빼야할까요?",단점을 어떻게 하면 장점으로 부각시킬수 있는지 사례중심으로 쓰시길 바랍니다.,사람인 블로그에서 본건데 성격의 장단점 작성 방법 https://blog.naver.com/saraminapp/222405356970 이거 참고하시길 추천합니당,단점작성시 치명적이지 않은걸로 쓰심 됩니다. 예를들면 너무 꼼꼼한 성격이라 스트레스를 많이 받지만 업무적으로 완벽을 추구하였기에 더 좋은 결과로 이어졌다~~ 등등 단점인듯 하지만 장점으로 승화하는 그런 부분을 어필하는걸 추천드려욥,단점서술보다는 어려움을 극복한 일화를 녹여내서 써보세요. 저는 이러이러한 단점과 미습함이 잇어요~ 보다는 이런 이런 어려움과 문제상황이 잇엇는데 그럼에도 불구하고 ~~극복햇다.,"어렵다면 안 쓰시는 것도 방법이지만, 성격의 장단점은 인터뷰어 입장에서도 매우 정석적인 기본 질문이기 때문에 면접으로 이어진다면 어차피 나올 가능성이 큽니다.(그리고 성격의 장점만 쓰여 있으면 보통 단점도 물어봅니다) 어지간한 자소서 책에 비슷하게 기술되어 있겠지만, 단점을 쓰시되 어떻게 극복해왔다는 식으로 긍정적 얘기로 유도하세요~ 혹은 단점인듯 단점아닌 장점같은 단점을 쓰시면 됩니다ㅎㅎ"
2022.09.10 작성,사람인-자소서,"고졸 이력서, 자소서",고등학교 졸업예정자입니다 품질관리로 지원하고 싶은 회사가 있는데 몇가지 궁금한 게 있습니다!! 1. 사람인 이력서 양식으로 작성 시 자격증은 필기만 있어도 전부 적는게 나은가요? 2. 경력이 없는 저는 어떤 점을 어필하는게 나을까요? 3. 자소서는 본인이 양식을 정하는데 어떤 카테고리를 적는 것이 좋을지 궁금합니다,지원동기 / 직무 관련 경험 / 성격의 장단점 / 입사후 포부 정도 넣으시면 무난합니다,1. 안됩니다..... 2. 직무에 관심을 갖계된 계기와 직무에 대한 유사경험같은거요 3. 가장 무난한것은 성장과정/성격의장단점/지원동기 및 입사 후 포부정도네요 유튜브에 자소서 항목 작성법 검색해보시고 공부해보는거 추천합니다!,일단 본인이 생각하는 방향으로 다때려 박으셈,,
2022.09.09 작성,사람인-자소서,저 어떡하죠 ㅠ 워드파일로 제출해버렸어요,마감 시간 임박해서 너무 급한 낸 바람에 이력서를 pdf 로 변환 안하고 워드로 제출했는데 감점요소가 될까요?????? 제출과제는 pdf 로 냈는데요 ㅠ 확인 못한 제자신이 너무 밉네요 ㅠㅠ,무조건 pdf로 제출하라고 했나요? 어차피 회사에 다 워드 깔려있고 (오히려 한글이 안깔려 있습니다) 확인은 다 가능하기 때문에 면접에 부르고 싶은 지원자라면 꼭 부르게 되어있습니다 이미 지나간 일이나 너무 마음쓰지 마시구요 회사 입장에서는 좋은 인재를 채용하는게 일이기 때문에 원하는 인재라면 꼭 부를겁니다! 걱정마세욥 좋은결과 있길 기원합니다,뭐.....어쩔수 없죠. 그런 디테일까지가 면접자의 태도에 포함되니까요. 크게 신경 안쓰길 기대하는 수 밖에 없을 듯 합니다.,,,
2022.09.07 작성,사람인-자소서,제 이력서를 보고 연락이 왔는데요,제 이력서를 보고 연락이 왔는데 저는 그래픽 디자인 쪽으로 이력서를 적었고 자소서도 그래픽 디자인 쪽으로 적었습니다. 근데 검색광고 마케터 쪽에서 연락이 왔는데 자소서의 내용도 마케터가 되고 싶다 이런 쪽으로 수정해야 하나요?,그거 영업입니다. 쉽게 말하면 콜영업이에요 직무랑 너무 달라서 비추입니다.,가보면 영업 하는걸껍니다.,"아뇨 굳이 수정은 안 하셔도 되는데, 검색광고 마케터인데 디자인을 할 줄 아는 사람을 찾는 거면 입사 했을 때 마케터 일을 주로 하면서 디자인을 겸해서 하게 되는 거예요. 디자이너든 마케터든 상관없이 취업만 하면 된다면 상관없지만 그게 아니라 그래픽 디자이너로 커리어를 쌓아가실 거라면 면접 거절하시는 게 현명해요.",굳이 변경 할 필요가 없습니다. 일반적으로 이력서 보고연락온 곳 대부분 좋은 곳이 없어요. 그냥 사람 안 뽑혀서 연락오는 경우가 대부분이라서요,
2022.09.07 작성,사람인-자소서,중소기업 자기소개서,자유양식으로 범용자기소개서 작성해서 몇군데 지원했는데 연락이 없네요ㅠㅠ 혹시 중소기업도 자기소개서 지원동기를 그 기업에 지원한 이유를 써야하나요? 저는 그냥 직무를 경영 회계 쪽으로 생각하고 거기에 맞게 공고올린 기업에 지원하고 있는데 살아 생전 처음들어보는 기업에 지원동기를 쓰자니 정말 쓸 말이 없어서 문제네요.. ㅠㅠ,넵 보통 본인의 회사에 애정있는 사람을 우선으로 하기에 기업에 맞춰 지원동기 바꿔쓰시면 훨씬~~ 합격 확률이 높아집니다. 경험으로 배운 내용이니 꼭!! 해보시길 추천드려요,일단 본인도 본능적으로 안될 수도 있다는걸 알고있네요? '범용'자기소개서를 다시 말하자면 복붙해서 붙일정도로 그 회사에대한 알아보는 것도없이 최소한의 정보에 별 거없는 즉 특별한 것 없는 얘기만 주저리주저리 적어서 냈다는 거네요 거기 인사팀들이 멍청이가 아닙니다 그런 자기소개서는 3초~5초정도 보고 버립니다 본인이 대충 복사했듯이 인사팀에서도 대충 보고 거르는거죠. 지원동기가 생각 안나면 다른 자소서들 여러개보고 어떻게 쓰는지 감을 잡아서 이 일의 하면 즐거운 이유를 생각해내서 조금씩 살을 붙여 보세요,재무회계 직무를 선택하신 이유와 자기의 가치관을 지원하신 회사의 업무내용과 엮어내시면 됩니다,"저는 제 방향성과 회사 방향성이 같다,,,라는 식으로 지원 동기 써서 여기저기 다 돌렸어요. 뭐,,회사마다 조금은 다르게 써야겠지만 틀은 같게요. 어떻게 하나하나 다 다르게 쓰나요 ...ㅠ",
2022.09.02 작성,사람인-자소서,lg그룹 자소서항목,lg그룹 자소서항목 내용은 모든 lg 계열사가 다 같나요?,계열사가 다양하니까 항목은 다 다를껄욥!,,,,
2022.09.01 작성,사람인-자소서,입사지원 접수 방법 질문드려요 ㅠㅠ,접수 방법: 사람인 입사지원/ 자사양식 메일지원/ 채용 홈페이지 지원 중 (택 1) 이라고 적혀 있는데 사람인 입사지원을 하는 경우 자사양식을 따로 올리지 않아도 되는걸까요? 잡코리아에는 (잡코리아 이력서 양식 + 다른 이력서 양식)으로 되어 있어서요!,걍 편하게 사람인 입사지원으로 하심 됩니당,"사람인 공고에 접수방법이 저렇게 기재되어 있다면, 자사양식을 따로 올리지 않아도 되어요. 택 1이라고 명시되어 있으니까요! 이유는 모르겠지만 잡코리아랑 사람인 공고를 내용을 조금씩 바꾸어서 올릴 때가 있더라구요.",,,
